Time.Stamp, PM_2.5, PM_10
2019-10-22 03:57:27, 4.100000, 6.600000
2019-10-22 03:57:29, 4.100000, 6.400000
2019-10-22 03:57:32, 4.000000, 6.400000
2019-10-22 03:57:34, 4.100000, 6.400000
2019-10-22 03:57:36, 4.000000, 6.300000
2019-10-22 03:57:38, 3.900000, 5.000000
2019-10-22 03:57:40, 3.900000, 5.000000
2019-10-22 03:57:42, 3.900000, 4.900000
2019-10-22 03:57:44, 3.900000, 4.900000
2019-10-22 03:57:46, 3.800000, 4.700000
2019-10-22 03:57:48, 3.700000, 4.300000
2019-10-22 03:57:50, 3.700000, 4.100000
2019-10-22 03:57:53, 3.600000, 4.000000
2019-10-22 03:57:55, 3.700000, 4.200000
2019-10-22 03:57:57, 3.700000, 4.200000
2019-10-22 03:57:59, 3.800000, 4.400000
2019-10-22 03:58:01, 3.800000, 4.600000
2019-10-22 03:58:03, 3.700000, 4.600000
2019-10-22 03:58:05, 3.800000, 4.600000
2019-10-22 03:58:07, 3.800000, 4.700000
2019-10-22 03:58:09, 3.900000, 4.700000
2019-10-22 03:58:11, 3.800000, 4.700000
2019-10-22 03:58:14, 3.800000, 4.800000
2019-10-22 03:58:16, 3.800000, 5.100000
2019-10-22 03:58:18, 3.900000, 5.800000
2019-10-22 03:58:20, 4.000000, 6.100000
2019-10-22 03:58:22, 4.100000, 6.000000
2019-10-22 03:58:24, 3.900000, 5.600000
2019-10-22 03:58:26, 3.900000, 5.600000
2019-10-22 03:58:28, 3.800000, 6.000000
2019-10-22 03:58:30, 3.800000, 5.800000
2019-10-22 03:58:32, 3.800000, 5.800000
2019-10-22 03:58:35, 3.800000, 5.800000
2019-10-22 03:58:37, 3.800000, 5.900000
2019-10-22 03:58:39, 3.800000, 5.900000
2019-10-22 03:58:41, 3.800000, 5.900000
2019-10-22 03:58:43, 3.900000, 6.800000
2019-10-22 03:58:45, 3.900000, 6.700000
2019-10-22 03:58:47, 3.900000, 6.100000
2019-10-22 03:58:49, 3.800000, 6.100000
2019-10-22 03:58:51, 3.700000, 6.000000
2019-10-22 03:58:53, 3.800000, 6.300000
2019-10-22 03:58:56, 3.800000, 6.200000
2019-10-22 03:58:58, 3.800000, 6.200000
2019-10-22 03:59:00, 3.700000, 5.800000
2019-10-22 03:59:02, 3.900000, 5.900000
2019-10-22 03:59:04, 3.900000, 5.900000
2019-10-22 03:59:06, 3.900000, 5.800000
